Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Shaun Maloney,Hull,MID,2015-16,2,2016-17,24.0,1.0,2.0,Shaun Maloney (2016-17),Maloney: 16/17
Michael Kightly,Burnley,MID,2015-16,2,2016-17,6.0,0.0,0.0,Michael Kightly (2016-17),Kightly: 16/17
Harrison Reed,Fulham,MID,2021-22,2,2022-23,107.0,3.0,4.0,Harrison Reed (2022-23),Reed: 22/23
Michael Keane,Burnley,DEF,2015-16,2,2016-17,113.0,2.0,1.0,Michael Keane (2016-17),Keane: 16/17
Callum Robinson,West Brom,FWD,2019-20,2,2020-21,79.0,5.0,3.0,Callum Robinson (2020-21),Robinson: 20/21
Kalvin Phillips,Leeds,MID,2019-20,2,2020-21,67.0,1.0,2.0,Kalvin Phillips (2020-21),Phillips: 20/21
Michael Hector,Fulham,DEF,2019-20,2,2020-21,0.0,0.0,0.0,Michael Hector (2020-21),Hector: 20/21
Tim Ream,Fulham,DEF,2021-22,2,2022-23,98.0,1.0,0.0,Tim Ream (2022-23),Ream: 22/23
Jack Stacey,Bournemouth,DEF,2021-22,2,2022-23,6.0,0.0,0.0,Jack Stacey (2022-23),Stacey: 22/23
Adam Smith,Bournemouth,DEF,2021-22,2,2022-23,74.0,0.0,1.0,Adam Smith (2022-23),Smith: 22/23
Tom Cleverley,Watford,MID,2020-21,2,2021-22,48.0,0.0,2.0,Tom Cleverley (2021-22),Cleverley: 21/22
Marco Stiepermann,Norwich,MID,2020-21,2,2021-22,0.0,0.0,0.0,Marco Stiepermann (2021-22),Stiepermann: 21/22
Mads Roerslev,Brentford,DEF,2020-21,2,2021-22,41.0,1.0,1.0,Mads Roerslev (2021-22),Roerslev: 21/22
Rico Henry,Brentford,DEF,2020-21,2,2021-22,108.0,3.0,0.0,Rico Henry (2021-22),Henry: 21/22
Dan Gosling,Watford,MID,2020-21,2,2021-22,11.0,1.0,0.0,Dan Gosling (2021-22),Gosling: 21/22
Saman Ghoddos,Brentford,MID,2020-21,2,2021-22,30.0,1.0,2.0,Saman Ghoddos (2021-22),Ghoddos: 21/22
Max Aarons,Norwich,DEF,2020-21,2,2021-22,55.0,0.0,2.0,Max Aarons (2021-22),Aarons: 21/22
Kyle Bartley,West Brom,DEF,2019-20,2,2020-21,79.0,3.0,1.0,Kyle Bartley (2020-21),Bartley: 20/21
Jack Payne,Huddersfield,MID,2016-17,2,2017-18,0.0,0.0,0.0,Jack Payne (2017-18),Payne: 17/18
Christopher Schindler,Huddersfield,DEF,2016-17,2,2017-18,102.0,0.0,2.0,Christopher Schindler (2017-18),Schindler: 17/18
Dale Stephens,Brighton,MID,2016-17,2,2017-18,87.0,0.0,3.0,Dale Stephens (2017-18),Stephens: 17/18
Lyle Taylor,Nott'm Forest,FWD,2021-22,2,2022-23,0.0,0.0,0.0,Lyle Taylor (2022-23),Taylor: 22/23
Junior Stanislas,Bournemouth,MID,2021-22,2,2022-23,4.0,0.0,0.0,Junior Stanislas (2022-23),Stanislas: 22/23
Tosin Adarabioyo,Fulham,DEF,2021-22,2,2022-23,49.0,1.0,0.0,Tosin Adarabioyo (2022-23),Adarabioyo: 22/23
Kieran Gibbs,West Brom,DEF,2019-20,2,2020-21,5.0,0.0,0.0,Kieran Gibbs (2020-21),Gibbs: 20/21
Aleksandar Mitrović,Fulham,FWD,2019-20,2,2020-21,63.0,3.0,3.0,Aleksandar Mitrović (2020-21),Mitrović: 20/21
Patrick Bamford,Leeds,FWD,2019-20,2,2020-21,194.0,17.0,11.0,Patrick Bamford (2020-21),Bamford: 20/21
Fred Onyedinma,Luton,MID,2022-23,2,2023-24,11.0,0.0,0.0,Fred Onyedinma (2023-24),Onyedinma: 23/24
Jay Rodriguez,Burnley,FWD,2022-23,2,2023-24,41.0,2.0,1.0,Jay Rodriguez (2023-24),Rodriguez: 23/24
Charlie Austin,West Brom,FWD,2019-20,2,2020-21,5.0,0.0,0.0,Charlie Austin (2020-21),Austin: 20/21
Lewis Cook,Bournemouth,MID,2021-22,2,2022-23,51.0,0.0,2.0,Lewis Cook (2022-23),Cook: 22/23
Oliver Norwood,Brighton,MID,2016-17,2,2017-18,0.0,0.0,0.0,Oliver Norwood (2017-18),Norwood: 17/18
Daryl Murphy,Newcastle,FWD,2016-17,2,2017-18,0.0,0.0,0.0,Daryl Murphy (2017-18),Murphy: 17/18
Solly March,Brighton,MID,2016-17,2,2017-18,74.0,1.0,3.0,Solly March (2017-18),March: 17/18
Jamaal Lascelles,Newcastle,DEF,2016-17,2,2017-18,116.0,3.0,0.0,Jamaal Lascelles (2017-18),Lascelles: 17/18
Elias Kachunga,Huddersfield,MID,2016-17,2,2017-18,46.0,1.0,1.0,Elias Kachunga (2017-18),Kachunga: 17/18
Isaac Hayden,Newcastle,MID,2016-17,2,2017-18,41.0,1.0,0.0,Isaac Hayden (2017-18),Hayden: 17/18
Dwight Gayle,Newcastle,FWD,2016-17,2,2017-18,94.0,6.0,3.0,Dwight Gayle (2017-18),Gayle: 17/18
George Baldock,Sheffield Utd,DEF,2018-19,2,2019-20,142.0,2.0,4.0,George Baldock (2019-20),Baldock: 19/20
Todd Cantwell,Norwich,MID,2018-19,2,2019-20,111.0,6.0,2.0,Todd Cantwell (2019-20),Cantwell: 19/20
Ben Godfrey,Norwich,DEF,2018-19,2,2019-20,38.0,0.0,0.0,Ben Godfrey (2019-20),Godfrey: 19/20
Jonathan Kodjia,Aston Villa,FWD,2018-19,2,2019-20,5.0,0.0,0.0,Jonathan Kodjia (2019-20),Kodjia: 19/20
Christoph Zimmermann,Norwich,DEF,2018-19,2,2019-20,35.0,0.0,1.0,Christoph Zimmermann (2019-20),Zimmermann: 19/20
Neil Taylor,Aston Villa,DEF,2018-19,2,2019-20,22.0,0.0,0.0,Neil Taylor (2019-20),Taylor: 19/20
Oliver McBurnie,Sheffield Utd,FWD,2022-23,2,2023-24,66.0,6.0,3.0,Oliver McBurnie (2023-24),McBurnie: 23/24
Bruno Écuélé Manga,Cardiff,DEF,2017-18,2,2018-19,97.0,0.0,1.0,Bruno Écuélé Manga (2018-19),Écuélé Manga: 18/19
Anel Ahmedhodžić,Sheffield Utd,DEF,2022-23,2,2023-24,31.0,2.0,0.0,Anel Ahmedhodžić (2023-24),Ahmedhodžić: 23/24
Conor Coady,Wolves,DEF,2017-18,2,2018-19,94.0,0.0,0.0,Conor Coady (2018-19),Coady: 18/19
Adam Forshaw,Middlesbrough,MID,2015-16,2,2016-17,77.0,0.0,2.0,Adam Forshaw (2016-17),Forshaw: 16/17
Willy Boly,Wolves,DEF,2017-18,2,2018-19,120.0,4.0,0.0,Willy Boly (2018-19),Boly: 18/19
Chris Basham,Sheffield Utd,DEF,2022-23,2,2023-24,8.0,0.0,0.0,Chris Basham (2023-24),Basham: 23/24
Jordan Beyer,Burnley,DEF,2022-23,2,2023-24,30.0,0.0,1.0,Jordan Beyer (2023-24),Beyer: 23/24
Allan Campbell,Luton,MID,2022-23,2,2023-24,0.0,0.0,0.0,Allan Campbell (2023-24),Campbell: 23/24
Jack Cork,Burnley,MID,2022-23,2,2023-24,4.0,0.0,0.0,Jack Cork (2023-24),Cork: 23/24
Lloyd Kelly,Bournemouth,DEF,2021-22,1,2022-23,60.0,0.0,2.0,Lloyd Kelly (2022-23),Kelly: 22/23
Jack Colback,Nott'm Forest,MID,2021-22,1,2022-23,14.0,0.0,0.0,Jack Colback (2022-23),Colback: 22/23
Nathaniel Chalobah,Fulham,MID,2021-22,1,2022-23,1.0,0.0,0.0,Nathaniel Chalobah (2022-23),Chalobah: 22/23
Joe Bryan,Fulham,DEF,2021-22,1,2022-23,0.0,0.0,0.0,Joe Bryan (2022-23),Bryan: 22/23
Harry Maguire,Hull,DEF,2015-16,1,2016-17,71.0,2.0,3.0,Harry Maguire (2016-17),Maguire: 16/17
Joe Lolley,Nott'm Forest,MID,2021-22,1,2022-23,0.0,0.0,0.0,Joe Lolley (2022-23),Lolley: 22/23
Amari'i Bell,Luton,DEF,2022-23,1,2023-24,35.0,0.0,0.0,Amari'i Bell (2023-24),Bell: 23/24
Rhian Brewster,Sheffield Utd,FWD,2022-23,1,2023-24,11.0,0.0,0.0,Rhian Brewster (2023-24),Brewster: 23/24
John Egan,Sheffield Utd,DEF,2022-23,1,2023-24,1.0,0.0,0.0,John Egan (2023-24),Egan: 23/24
Hjalmar Ekdal,Burnley,DEF,2022-23,1,2023-24,15.0,0.0,0.0,Hjalmar Ekdal (2023-24),Ekdal: 23/24
John Fleck,Sheffield Utd,MID,2022-23,1,2023-24,3.0,0.0,0.0,John Fleck (2023-24),Fleck: 23/24
Wes Foderingham,Sheffield Utd,GK,2022-23,1,2023-24,70.0,0.0,0.0,Wes Foderingham (2023-24),Foderingham: 23/24
Luke Freeman,Luton,MID,2022-23,1,2023-24,0.0,0.0,0.0,Luke Freeman (2023-24),Freeman: 23/24
Daniel Jebbison,Sheffield Utd,FWD,2022-23,1,2023-24,1.0,0.0,0.0,Daniel Jebbison (2023-24),Jebbison: 23/24
Tom Lockyer,Luton,DEF,2022-23,1,2023-24,23.0,1.0,1.0,Tom Lockyer (2023-24),Lockyer: 23/24
Pelly-Ruddock Mpanzu,Luton,MID,2022-23,1,2023-24,35.0,0.0,0.0,Pelly-Ruddock Mpanzu (2023-24),Mpanzu: 23/24
Jack Robinson,Sheffield Utd,DEF,2022-23,1,2023-24,33.0,1.0,1.0,Jack Robinson (2023-24),Robinson: 23/24
Charlie Taylor,Burnley,DEF,2022-23,1,2023-24,47.0,1.0,1.0,Charlie Taylor (2023-24),Taylor: 23/24
Scott Twine,Burnley,MID,2022-23,1,2023-24,0.0,0.0,0.0,Scott Twine (2023-24),Twine: 23/24
Jayden Bogle,Sheffield Utd,DEF,2022-23,1,2023-24,63.0,3.0,3.0,Jayden Bogle (2023-24),Bogle: 23/24
Samuel Bastien,Burnley,MID,2022-23,1,2023-24,0.0,0.0,0.0,Samuel Bastien (2023-24),Bastien: 23/24
Emiliano Marcondes,Bournemouth,MID,2021-22,1,2022-23,1.0,0.0,0.0,Emiliano Marcondes (2022-23),Marcondes: 22/23
David Meyler,Hull,MID,2015-16,1,2016-17,33.0,1.0,0.0,David Meyler (2016-17),Meyler: 16/17
Alexander Mighten,Nott'm Forest,MID,2021-22,1,2022-23,1.0,0.0,0.0,Alexander Mighten (2022-23),Mighten: 22/23
Ben Pearson,Bournemouth,MID,2021-22,1,2022-23,9.0,0.0,0.0,Ben Pearson (2022-23),Pearson: 22/23
Kenny Tete,Fulham,DEF,2021-22,1,2022-23,90.0,1.0,5.0,Kenny Tete (2022-23),Tete: 22/23
Joe Worrall,Nott'm Forest,DEF,2021-22,1,2022-23,61.0,1.0,0.0,Joe Worrall (2022-23),Worrall: 22/23
Jordan Zemura,Bournemouth,DEF,2021-22,1,2022-23,47.0,0.0,1.0,Jordan Zemura (2022-23),Zemura: 22/23
Abel Hernández,Hull,FWD,2015-16,1,2016-17,72.0,4.0,4.0,Abel Hernández (2016-17),Hernández: 16/17
Adama Diomandé,Hull,FWD,2015-16,1,2016-17,42.0,2.0,0.0,Adama Diomandé (2016-17),Diomandé: 16/17
Curtis Davies,Hull,DEF,2015-16,1,2016-17,38.0,0.0,2.0,Curtis Davies (2016-17),Davies: 16/17
Tendayi Darikwa,Burnley,DEF,2015-16,1,2016-17,0.0,0.0,0.0,Tendayi Darikwa (2016-17),Darikwa: 16/17
Daniel Ayala,Middlesbrough,DEF,2015-16,1,2016-17,31.0,1.0,0.0,Daniel Ayala (2016-17),Ayala: 16/17
Adam Clayton,Middlesbrough,MID,2015-16,1,2016-17,70.0,0.0,2.0,Adam Clayton (2016-17),Clayton: 16/17
Ben Mee,Burnley,DEF,2015-16,1,2016-17,94.0,1.0,2.0,Ben Mee (2016-17),Mee: 16/17
Josh Martin,Norwich,MID,2020-21,1,2021-22,0.0,0.0,0.0,Josh Martin (2021-22),Martin: 21/22
Cristhian Stuani,Middlesbrough,FWD,2015-16,1,2016-17,54.0,4.0,0.0,Cristhian Stuani (2016-17),Stuani: 16/17
Aleksandar Mitrović,Fulham,FWD,2017-18,1,2018-19,134.0,11.0,4.0,Aleksandar Mitrović (2018-19),Mitrović: 18/19
Kevin McDonald,Fulham,MID,2017-18,1,2018-19,17.0,0.0,0.0,Kevin McDonald (2018-19),McDonald: 18/19
Aboubakar Kamara,Fulham,FWD,2017-18,1,2018-19,28.0,3.0,0.0,Aboubakar Kamara (2018-19),Kamara: 18/19
Aron Gunnarsson,Cardiff,MID,2017-18,1,2018-19,65.0,1.0,1.0,Aron Gunnarsson (2018-19),Gunnarsson: 18/19
Bright Enobakhare,Wolves,MID,2017-18,1,2018-19,0.0,0.0,0.0,Bright Enobakhare (2018-19),Enobakhare: 18/19
Loïc Damour,Cardiff,MID,2017-18,1,2018-19,2.0,0.0,0.0,Loïc Damour (2018-19),Damour: 18/19
Ryan Bennett,Wolves,DEF,2017-18,1,2018-19,89.0,1.0,0.0,Ryan Bennett (2018-19),Bennett: 18/19
Sol Bamba,Cardiff,DEF,2017-18,1,2018-19,95.0,4.0,1.0,Sol Bamba (2018-19),Bamba: 18/19
Floyd Ayité,Fulham,MID,2017-18,1,2018-19,24.0,1.0,0.0,Floyd Ayité (2018-19),Ayité: 18/19
Cyrus Christie,Fulham,DEF,2019-20,1,2020-21,0.0,0.0,0.0,Cyrus Christie (2020-21),Christie: 20/21
Adam Forshaw,Leeds,MID,2019-20,1,2020-21,0.0,0.0,0.0,Adam Forshaw (2020-21),Forshaw: 20/21
Darnell Furlong,West Brom,DEF,2019-20,1,2020-21,79.0,1.0,3.0,Darnell Furlong (2020-21),Furlong: 20/21
Dennis Srbeny,Norwich,FWD,2018-19,1,2019-20,13.0,1.0,0.0,Dennis Srbeny (2019-20),Srbeny: 19/20
John Ruddy,Wolves,GK,2017-18,1,2018-19,7.0,0.0,0.0,John Ruddy (2018-19),Ruddy: 18/19
Anthony Pilkington,Cardiff,MID,2017-18,1,2018-19,0.0,0.0,0.0,Anthony Pilkington (2018-19),Pilkington: 18/19
Lee Peltier,Cardiff,DEF,2017-18,1,2018-19,43.0,0.0,0.0,Lee Peltier (2018-19),Peltier: 18/19
Sean Morrison,Cardiff,DEF,2017-18,1,2018-19,97.0,1.0,4.0,Sean Morrison (2018-19),Morrison: 18/19
Chris Basham,Sheffield Utd,DEF,2018-19,1,2019-20,123.0,0.0,1.0,Chris Basham (2019-20),Basham: 19/20
John Egan,Sheffield Utd,DEF,2018-19,1,2019-20,133.0,2.0,1.0,John Egan (2019-20),Egan: 19/20
Andre Green,Aston Villa,MID,2018-19,1,2019-20,0.0,0.0,0.0,Andre Green (2019-20),Green: 19/20
Dean Henderson,Sheffield Utd,GK,2018-19,1,2019-20,160.0,0.0,1.0,Dean Henderson (2019-20),Henderson: 19/20
Timm Klose,Norwich,DEF,2018-19,1,2019-20,9.0,0.0,0.0,Timm Klose (2019-20),Klose: 19/20
Moritz Leitner,Norwich,MID,2018-19,1,2019-20,16.0,0.0,0.0,Moritz Leitner (2019-20),Leitner: 19/20
John Lundstram,Sheffield Utd,DEF,2018-19,1,2019-20,144.0,5.0,4.0,John Lundstram (2019-20),Lundstram: 19/20
Neeskens Kebano,Fulham,MID,2019-20,1,2020-21,6.0,0.0,0.0,Neeskens Kebano (2020-21),Kebano: 20/21
Denis Odoi,Fulham,DEF,2019-20,1,2020-21,1.0,0.0,0.0,Denis Odoi (2020-21),Odoi: 20/21
Kieran Dowell,Norwich,MID,2020-21,1,2021-22,41.0,1.0,1.0,Kieran Dowell (2021-22),Dowell: 21/22
Dimitris Giannoulis,Norwich,DEF,2020-21,1,2021-22,39.0,0.0,1.0,Dimitris Giannoulis (2021-22),Giannoulis: 21/22
Ben Gibson,Norwich,DEF,2020-21,1,2021-22,53.0,0.0,0.0,Ben Gibson (2021-22),Gibson: 21/22
Andre Gray,Watford,FWD,2020-21,1,2021-22,0.0,0.0,0.0,Andre Gray (2021-22),Gray: 21/22
Adam Idah,Norwich,FWD,2020-21,1,2021-22,36.0,1.0,2.0,Adam Idah (2021-22),Idah: 21/22
Marc Navarro,Watford,DEF,2020-21,1,2021-22,0.0,0.0,0.0,Marc Navarro (2021-22),Navarro: 21/22
Jeremy Ngakia,Watford,DEF,2020-21,1,2021-22,28.0,0.0,0.0,Jeremy Ngakia (2021-22),Ngakia: 21/22
Ethan Pinnock,Brentford,DEF,2020-21,1,2021-22,90.0,1.0,1.0,Ethan Pinnock (2021-22),Pinnock: 21/22
Jacob Sørensen,Norwich,DEF,2020-21,1,2021-22,9.0,0.0,0.0,Jacob Sørensen (2021-22),Sørensen: 21/22
Ben Wilmot,Watford,DEF,2020-21,1,2021-22,0.0,0.0,0.0,Ben Wilmot (2021-22),Wilmot: 21/22
Jan Žambůrek,Brentford,MID,2020-21,1,2021-22,0.0,0.0,0.0,Jan Žambůrek (2021-22),Žambůrek: 21/22
Fredrik Ulvestad,Burnley,MID,2015-16,1,2016-17,0.0,0.0,0.0,Fredrik Ulvestad (2016-17),Ulvestad: 16/17
Marcus Forss,Brentford,FWD,2020-21,1,2021-22,11.0,0.0,1.0,Marcus Forss (2021-22),Forss: 21/22
Harrison Reed,Fulham,MID,2019-20,1,2020-21,69.0,0.0,3.0,Harrison Reed (2020-21),Reed: 20/21
Nathaniel Chalobah,Watford,MID,2020-21,1,2021-22,0.0,0.0,0.0,Nathaniel Chalobah (2021-22),Chalobah: 21/22
Tyler Roberts,Leeds,MID,2019-20,1,2020-21,49.0,1.0,2.0,Tyler Roberts (2020-21),Roberts: 20/21
Hal Robson-Kanu,West Brom,FWD,2019-20,1,2020-21,30.0,2.0,0.0,Hal Robson-Kanu (2020-21),Robson/Kanu: 20/21
Romaine Sawyers,West Brom,MID,2019-20,1,2020-21,33.0,0.0,0.0,Romaine Sawyers (2020-21),Sawyers: 20/21
Conor Townsend,West Brom,DEF,2019-20,1,2020-21,76.0,0.0,2.0,Conor Townsend (2020-21),Townsend: 20/21
Sean Scannell,Huddersfield,MID,2016-17,1,2017-18,0.0,0.0,0.0,Sean Scannell (2017-18),Scannell: 17/18
Liam Rosenior,Brighton,DEF,2016-17,1,2017-18,3.0,0.0,0.0,Liam Rosenior (2017-18),Rosenior: 17/18
Beram Kayal,Brighton,MID,2016-17,1,2017-18,25.0,0.0,0.0,Beram Kayal (2017-18),Kayal: 17/18
Lewis Dunk,Brighton,DEF,2016-17,1,2017-18,97.0,1.0,1.0,Lewis Dunk (2017-18),Dunk: 17/18
Martin Cranie,Huddersfield,DEF,2016-17,1,2017-18,2.0,0.0,0.0,Martin Cranie (2017-18),Cranie: 17/18
Jack Colback,Newcastle,MID,2016-17,1,2017-18,0.0,0.0,0.0,Jack Colback (2017-18),Colback: 17/18
Ciaran Clark,Newcastle,DEF,2016-17,1,2017-18,64.0,2.0,1.0,Ciaran Clark (2017-18),Clark: 17/18
Harry Bunn,Huddersfield,MID,2016-17,1,2017-18,0.0,0.0,0.0,Harry Bunn (2017-18),Bunn: 17/18
Shandon Baptiste,Brentford,MID,2020-21,1,2021-22,35.0,1.0,0.0,Shandon Baptiste (2021-22),Baptiste: 21/22
Craig Cathcart,Watford,DEF,2020-21,1,2021-22,50.0,0.0,1.0,Craig Cathcart (2021-22),Cathcart: 21/22
Cauley Woodrow,Luton,FWD,2022-23,1,2023-24,33.0,1.0,1.0,Cauley Woodrow (2023-24),Woodrow: 23/24
